Kleiner et al. Name	"scientific name
subspecies"	"scientific name 
species"	"scientific name
 genus"	"scientific name
family"	"scientific name
order"	"Taxon ID
subspecies"	"Taxon ID
species"	"Taxon ID
genus"	"Taxon ID
family"	"Taxon ID
order"	Protein amount in equal Protein [microg]
Agrobacterium tumefaciens NTL4		Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Rhizobiales		358	357	82115	356	642.7
Alteromonas macleodii ATCC 27126	Alteromonas macleodii str. 'English Channel 673'	Alteromonas macleodii	Alteromonas	Alteromonadaceae	Alteromonadales	1004788	28108	226	72275	135622	642.7
Bacillus subtilis 168	Bacillus subtilis subsp. subtilis str. 168	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	224308	1423	1386	186817	1385	642.7
Chlamydomonas reinhardtii		Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Chlamydomonadales		3055	3052	3051	3042	642.7
Chromobacterium violaceum CV026		Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales		536	535	1499392	206351	642.7
Cupriavidus metalliredcens  CH34; (DSM 2839; LMG 1195; CIP 107179)	Cupriavidus metallidurans CH34	Cupriavidus metallidurans	Cupriavidus	Burkholderiaceae	Burkholderiales	266264	119219	106589	119060	80840	642.7
Phage ES18 (H1)		Enterobacteria phage ES18	unclassified Siphoviridae	Siphoviridae	Caudovirales		101570		10699	28883	62
Escherichia coli K12 with Flac+ Plasmid	Escherichia coli str. K-12 substr. MG1655	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	511145	562	561	543	91347	642.7
Phage M13		Escherichia virus M13	Inovirus	Inoviridae	Tubulavirales		1977402	10861	10860	2732094	62
Phage F2	Enterobacteria phage MS2	Escherichia virus MS2	Levivirus	Leviviridae	Riboviria	12022	329852	11990	11989	2732501	62
Nitrososphaera viennensis	Nitrososphaera viennensis EN76	Nitrososphaera viennensis	Nitrososphaera	Nitrososphaeraceae	Nitrososphaerales	926571	1034015	497726	1033997	1033996	642.7
Burkholderia xenovorans LB400	Paraburkholderia xenovorans LB400	Paraburkholderia xenovorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	266265	36873	1822464	119060	80840	642.7
Paracoccus denitrificans ATCC 17741, (Beijerinck and Minkman) Davis emend. Rainey et al. 	Paracoccus denitrificans JCM 21484	Paracoccus denitrificans	Paracoccus	Rhodobacteraceae	Rhodobacterales	1302247	266	265	31989	204455	642.7
Pseudomonas fluorescens ATCC 13525, Type strain	Pseudomonas fluorescens F113	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	1114970	294	286	135621	72274	642.7
Pseudomonas pseudoalcaligenes KF707		Pseudomonas furukawaii	Pseudomonas	Pseudomonadaceae	Pseudomonadales		1149133	286	135621	72274	642.7
Pseudomonas denitrificans ATCC 13867		Pseudomonas sp. ATCC 13867	Pseudomonas	Pseudomonadaceae	Pseudomonadales		1294143	286	135621	72274	642.7
Rhizobium leguminosarum bv. viciae 3841	Rhizobium leguminosarum bv. viciae 3841	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Rhizobiales	216596	384	379	82115	356	642.7
Rhizobium leguminosarum bv. viciae VF39	Rhizobium leguminosarum bv. viciae VF39	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Rhizobiales	1041145	384	379	82115	356	642.7
Salmonella enterica typhimurium LT2, Salmonella enterica typhimurium LT2 with Flac+ Plasmid, SA2197, Salmonella enterica typhimurium LT2-H88, Rough mutant of LT2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	99287	28901	590	543	91347	1928.1
Phage F0	Salmonella phage Felix O1 VT1	Salmonella virus FelixO1	Felixounavirus	Myoviridae	Caudovirales	1283336	1985310	1198140	10662	28883	62
Phage P22 (HT105)		Salmonella virus P22	Lederbergvirus	Podoviridae	Caudovirales		10754	186794	10744	28883	62
Staphylococcus aureus subsp. aureus Rosenbach, Smith [NCTC 10399], ATCC 13709	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	46170	1280	1279	90964	1385	642.7
Staphylococcus aureus subsp. aureus Rosenbach, Seattle 1945, ATCC 25923	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	93061	1280	1279	90964	1385	642.7
Stenotrophomonas maltophilia SeITE02	Stenotrophomonas maltophilia SeITE02	Stenotrophomonas maltophilia	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	1407502	40324	40323	32033	135614	642.7
Thermus Thermophilus HB27	Thermus thermophilus HB27	Thermus thermophilus	Thermus	Thermaceae	Thermales	262724	274	270	188786	68933	642.7
Roseobacter sp. AK199		Roseobacter sp.	Roseobacter	Roseobacteraceae	Rhodobacterales		1907202	2433	2854170	204455	642.7
